código,nombre
888603,HUAWEI TECHNOLOGIES CO.
04F938,HUAWEI TECHNOLOGIES CO.
AC853D,HUAWEI TECHNOLOGIES CO.
E0247F,HUAWEI TECHNOLOGIES CO.
00464B,HUAWEI TECHNOLOGIES CO.
80FB06,HUAWEI TECHNOLOGIES CO.
7C1DD9,Xiaomi Communications Co Ltd
A086C6,Xiaomi Communications Co Ltd
9C99A0,Xiaomi Communications Co Ltd
584498,Xiaomi Communications Co Ltd
346987,zte corporation
98F428,zte corporation
A03299,Lenovo (Beijing) Co.
ACEE9E,Samsung Electronics Co.
B857D8,Samsung Electronics Co.
6889C1,HUAWEI TECHNOLOGIES CO.
143EBF,zte corporation
7CA23E,HUAWEI TECHNOLOGIES CO.
88A2D7,HUAWEI TECHNOLOGIES CO.
AC5A14,Samsung Electronics Co.
08ECA9,Samsung Electronics Co.
9C37F4,HUAWEI TECHNOLOGIES CO.
3C4711,HUAWEI TECHNOLOGIES CO.
C43ABE,Sony Mobile Communications Inc
F8CFC5,Motorola Mobility LLC
7840E4,Samsung Electronics Co.
E09971,Samsung Electronics Co.
10D38A,Samsung Electronics Co.
307512,Sony Mobile Communications Inc
6077E2,Samsung Electronics Co.
FC1910,Samsung Electronics Co.
3CA10D,Samsung Electronics Co.
646CB2,Samsung Electronics Co.
680571,Samsung Electronics Co.
14B484,Samsung Electronics Co.
A43D78,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
A8A668,zte corporation
00EEBD,HTC Corporation
208986,zte corporation
98FFD0,Lenovo Mobile Communication Technology Ltd.
9CA9E4,zte corporation
E47723,zte corporation
B4527E,Sony Mobile Communications Inc
502E5C,HTC Corporation
146080,zte corporation
503CC4,Lenovo Mobile Communication Technology Ltd.
980D2E,HTC Corporation
2C26C5,zte corporation
4C09B4,zte corporation
149FE8,Lenovo Mobile Communication Technology Ltd.
D4206D,HTC Corporation
9067F3,Alcatel Lucent
18422F,Alcatel Lucent
0022DE,OPPO Digital
00198F,Nokia Bell N.V.
000918,SAMSUNG TECHWIN CO.
00061B,Notebook Development Lab.  Lenovo Japan Ltd.
00040F,Asus Network Technologies
00E064,SAMSUNG ELECTRONICS
00E00C,MOTOROLA
008039,ALCATEL STC AUSTRALIA
0005C9,LG Innotek
4455B1,HUAWEI TECHNOLOGIES CO.
0CB5DE,Alcatel Lucent
00E091,LG Electronics
002060,ALCATEL ITALIA S.p.A.
88D50C,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
EC8A4C,zte corporation
C4AE12,Samsung Electronics Co.
04946B,TECNO MOBILE LIMITED
F4E4AD,zte corporation
28FF3E,zte corporation
D4AE05,Samsung Electronics Co.
F0EE10,Samsung Electronics Co.
DCC64B,HUAWEI TECHNOLOGIES CO.
043389,HUAWEI TECHNOLOGIES CO.
B81DAA,LG Electronics (Mobile Communications)
2C55D3,HUAWEI TECHNOLOGIES CO.
7C4685,Motorola (Wuhan) Mobility Technologies Communication Co.
0823B2,vivo Mobile Communication Co.
689FF0,zte corporation
5CAF06,LG Electronics (Mobile Communications)
C81451,HUAWEI TECHNOLOGIES CO.
F0C850,HUAWEI TECHNOLOGIES CO.
64136C,zte corporation
1C48CE,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
C80CC8,HUAWEI TECHNOLOGIES CO.
0425C5,HUAWEI TECHNOLOGIES CO.
6C5C14,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
3CFA43,HUAWEI TECHNOLOGIES CO.
145F94,HUAWEI TECHNOLOGIES CO.
CC61E5,Motorola Mobility LLC
38A4ED,Xiaomi Communications Co Ltd
20DBAB,Samsung Electronics Co.
F09838,HUAWEI TECHNOLOGIES CO.
E8E5D6,Samsung Electronics Co.
C87E75,Samsung Electronics Co.
00265F,Samsung Electronics Co.
00233A,Samsung Electronics Co.
0007AB,Samsung Electronics Co.
382DD1,Samsung Electronics Co.
FC1F19,SAMSUNG ELECTRO MECHANICS CO.
840B2D,SAMSUNG ELECTRO MECHANICS CO.
206432,SAMSUNG ELECTRO MECHANICS CO.
B407F9,SAMSUNG ELECTRO MECHANICS CO.
00166C,Samsung Electronics Co.
181EB0,Samsung Electronics Co.
E8039A,Samsung Electronics Co.
30CDA7,Samsung Electronics Co.
001247,Samsung Electronics Co.
001599,Samsung Electronics Co.
D0667B,Samsung Electronics Co.
B85E7B,Samsung Electronics Co.
E492FB,Samsung Electronics Co.
6CB7F4,Samsung Electronics Co.
2C4401,Samsung Electronics Co.
B8D9CE,Samsung Electronics Co.
1C66AA,Samsung Electronics Co.
3C8BFE,Samsung Electronics Co.
D4E8B2,Samsung Electronics Co.
1489FD,Samsung Electronics Co.
BC851F,Samsung Electronics Co.
0015B9,Samsung Electronics Co.
002339,Samsung Electronics Co.
5001BB,Samsung Electronics Co.
1C77F6,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
742344,Xiaomi Communications Co Ltd
54880E,SAMSUNG ELECTRO-MECHANICS(THAILAND)
F025B7,SAMSUNG ELECTRO-MECHANICS(THAILAND)
F04347,HUAWEI TECHNOLOGIES CO.
9CB2B2,HUAWEI TECHNOLOGIES CO.
A8C83A,HUAWEI TECHNOLOGIES CO.
BC72B1,Samsung Electronics Co.
78F7BE,Samsung Electronics Co.
684898,Samsung Electronics Co.
3423BA,SAMSUNG ELECTRO-MECHANICS(THAILAND)
400E85,SAMSUNG ELECTRO-MECHANICS(THAILAND)
C8BA94,SAMSUNG ELECTRO-MECHANICS(THAILAND)
843838,SAMSUNG ELECTRO-MECHANICS(THAILAND)
5C3C27,Samsung Electronics Co.
84C7EA,Sony Mobile Communications Inc
88797E,Motorola Mobility LLC
D013FD,LG Electronics (Mobile Communications)
888322,Samsung Electronics Co.
E89309,Samsung Electronics Co.
6CD032,LG Electronics
3CBDD8,LG ELECTRONICS INC
344DF7,LG Electronics (Mobile Communications)
583F54,LG Electronics (Mobile Communications)
64899A,LG Electronics (Mobile Communications)
78C3E9,Samsung Electronics Co.
8C1ABF,Samsung Electronics Co.
30CBF8,Samsung Electronics Co.
A0CBFD,Samsung Electronics Co.
E45D75,Samsung Electronics Co.
F8A9D0,LG Electronics (Mobile Communications)
CCFA00,LG Electronics (Mobile Communications)
74A722,LG Electronics (Mobile Communications)
F01C13,LG Electronics (Mobile Communications)
A816B2,LG Electronics (Mobile Communications)
64BC0C,LG Electronics (Mobile Communications)
FCF152,Sony Corporation
483C0C,HUAWEI TECHNOLOGIES CO.
408805,Motorola Mobility LLC
D0FCCC,Samsung Electronics Co.
98398E,Samsung Electronics Co.
20F17C,HUAWEI TECHNOLOGIES CO.
346AC2,HUAWEI TECHNOLOGIES CO.
C09727,SAMSUNG ELECTRO-MECHANICS(THAILAND)
90C7D8,zte corporation
84AD58,HUAWEI TECHNOLOGIES CO.
58605F,HUAWEI TECHNOLOGIES CO.
AC0D1B,LG Electronics (Mobile Communications)
202D07,Samsung Electronics Co.
102AB3,Xiaomi Communications Co Ltd
9C5CF9,Sony Mobile Communications Inc
30A9DE,LG Innotek
